tweet_id,maj_label
849667487180259329,abusive
850490912954351616,abusive
848791766853668864,abusive
848306464892604416,abusive
850010509969465344,normal
850433664890544128,hateful
847529600108421121,abusive
848619867506913282,abusive
850411934205845504,abusive
848325397985071104,abusive
849087242987593728,abusive
850449456445235200,hateful
850100742035836929,hateful
847945888995708928,hateful
850577240127623169,abusive
849811213416574976,abusive
849282894682050564,abusive
848491429517295616,abusive
847972153727299584,abusive
850455815001522176,abusive
847534226413105152,abusive
847804507367100416,hateful
849562231129993216,abusive
848317802092130306,abusive
850814012753403907,abusive
848377830996148224,abusive
847851483571814400,abusive
850344984742174720,normal
847482196096987137,normal
848813568820518913,abusive
848668638869671939,abusive
850660404770590720,normal
848638037231906817,abusive
850090319165050880,hateful
850387833751650305,abusive
850590552856948737,abusive
848610228967010305,abusive
847394619029467136,spam
848074037540597760,abusive
848992241981018112,abusive
849881409284182016,normal
848437713061634052,normal
849636831033532417,abusive
848866727429455872,abusive
848926030723031040,normal
849429355583426561,abusive
850311262504407044,abusive
848600351381098496,hateful
848455845021196288,abusive
850672203372916736,hateful
850334784194609152,abusive
848975292794318848,normal
848037224134430720,abusive
847496569947422725,abusive
849054770694434816,abusive
849303652280020995,hateful
847876720719912960,abusive
850346419164553218,normal
847803697857953794,abusive
848960621127270400,abusive
849300057782456321,hateful
849049657833656327,abusive
849337999431274497,abusive
850512261974286336,abusive
848901053634547713,abusive
847678124628131841,abusive
848958729513054208,abusive
848686686930382848,hateful
848999561066663939,abusive
849966683662032896,abusive
849744347822268417,abusive
849681366132436994,abusive
848834691356667904,abusive
848067175680274433,abusive
849574897940606976,abusive
850380636300820480,hateful
848652738267406337,abusive
849797741312180224,abusive
850720957941547008,abusive
850071247673151488,abusive
849312338704551936,abusive
849107027527745536,abusive
848427885811597312,abusive
847652946217009155,hateful
849464319288987650,abusive
848005091579899905,abusive
848712276408512513,abusive
847434833995350016,abusive
847535899974004737,abusive
848338236770582529,normal
848337741813358592,abusive
850103669655842816,abusive
850182237362544642,normal
850131301713793024,abusive
848601639057575936,abusive
850562987870105600,hateful
850795142583693312,abusive
850447602550222848,abusive
847542736651767809,abusive
848075480368545792,normal
850822304892420096,abusive
850082782017703936,abusive
847704741643669504,abusive
849103588198666240,abusive
849763234743808002,hateful
848208045553438720,abusive
850354807772786688,abusive
848773425136934912,abusive
848677539186978817,abusive
849203190314684417,abusive
850025252952440833,abusive
848993277986701312,abusive
850606327625728000,normal
847529042261704707,abusive
848554797049421824,abusive
848556688689033216,abusive
848835698006401024,hateful
848738847307350016,abusive
849013733623975939,abusive
850545619274014720,abusive
849310820345532416,hateful
849367976138727426,abusive
848323384727437318,abusive
850007192262651905,abusive
848967898240602113,abusive
848964211472519169,abusive
850612656834662400,normal
850356342900445186,abusive
848642839701598208,abusive
850451327129985024,abusive
847413354993901572,abusive
849902645024137217,abusive
849428428633853953,abusive
849423621961506816,abusive
850215875680522240,hateful
847860379682320384,hateful
848989217921409026,abusive
848304585852760065,abusive
849922895132459008,hateful
847917841659473920,hateful
849042540091387904,hateful
847663964657860609,hateful
849327505312026624,abusive
848388874573410306,abusive
847512604788609025,abusive
850204651714600960,abusive
848372038670704640,abusive
849711858751868936,abusive
848275464820891649,normal
850456305756131328,abusive
847760077108822016,normal
850730541943054337,abusive
848749681211568128,abusive
848773680989560833,abusive
849427879196848128,abusive
847883620345757696,abusive
848573151328043011,normal
847929749292929025,abusive
849812975007432704,abusive
847545240680636416,abusive
850084090623787012,abusive
850186343560994816,normal
847925424965505025,abusive
848110494422630400,hateful
847520418793762816,hateful
850165976016461824,abusive
849115860715413504,abusive
849517133969199104,abusive
848741150005571584,abusive
847434456524902405,abusive
849570103842689025,abusive
850026196633092096,normal
848075681695125504,abusive
850833365293031424,abusive
848664213853798401,abusive
850585096067350528,abusive
848794237306937344,normal
850054621447897088,abusive
848681938986651650,abusive
850208195909885953,abusive
849623568619057152,hateful
847591914874572800,hateful
849426637657710592,normal
850163392337764353,abusive
847934807615184897,normal
848039367448940544,abusive
850015966750806017,abusive
848632521701175297,abusive
848705682937450496,hateful
848937443432824832,abusive
848982859352244227,abusive
849173893122281472,abusive
848594131257577473,hateful
848129633061134336,abusive
847515817638055939,abusive
848570232109125633,abusive
848537659144273920,abusive
848898276984311808,
849751289399566336,hateful
847614765463617538,abusive
849059623504052226,abusive
850509426616221696,abusive
849797502211563521,normal
847811708995481600,hateful
850172120697102336,abusive
850741375817601025,hateful
849091848337489920,normal
848171609659592706,abusive
849141328512335872,abusive
849760592332115968,abusive
849771698870255616,abusive
849294349326323717,abusive
847940566386126848,abusive
848028080576888832,abusive
850738729203503104,normal
847523526751981569,abusive
849504328779956224,abusive
848272671410446338,abusive
848524862305861632,abusive
847842755221090309,abusive
850392854304346113,abusive
850402564143230979,abusive
849406978984226817,abusive
849167274485334016,abusive
849874505442803712,abusive
850726225979076608,abusive
847661490001727489,abusive
849007014353281024,abusive
848564053874270209,abusive
850799110391201792,abusive
849464847800696832,abusive
849261080119361536,normal
847908748433780736,abusive
849191429494546434,normal
848104358172602370,abusive
848888940497162241,abusive
847652610655928322,abusive
849995901200355328,normal
848284839086366720,abusive
849159519225753602,abusive
849001259759616000,normal
849256667690618882,abusive
